Sample.ID,Texture,Stage,Mass.root.wet,TMX.ng.30-60.cm,Root.depth.cm,Dry.weight.g,
kf-v3-2,Clay,V3,4.59 ,1954.36,32,0.88,
kf-v3-3,Clay,V3,3.64 ,2283.08,30,0.63,
kf-v3-4,Clay,V3,1.34 ,2320.38,22,0.24,
kf-v5-1 ,Clay,V5,21.37,58196.01,60,3.40,
kf-v5-2  ,Clay,V5,7.54,28987.46,60,1.15,
kf-v5-4  ,Clay,V5,27.8,38275.72,60,4.82,
kf-v5-5  ,Clay,V5,19.8,53925.88,60,3.59,
nk-v3-1,Sand,V3,2.85 ,2365.19,25,0.66,
nk-v3-2-,Sand,V3,2.49 ,2145.27,22,0.48,
nk-v3-3,Sand,V3,2.35 ,2850.22,22,0.37,
nk-v3-4,Sand,V3,2.64 ,2451.69,20,0.30,
nk-v5-2 ,Sand,V5,33.18,85948.56,46,5.09,
nk-v5-3 ,Sand,V5,33.61,72038.42,48,4.95,
nk-v5-4 ,Sand,V5,32.77,63550.84,60,4.98,
nk-v5-5 ,Sand,V5,26.3,61885.10,60,3.72,
NK--V1-1,Sand,V1,0.96,10042.5192,,0.13,
NK--V1-2,Sand,V1,2.18,7664.159653,,0.18,
NK--V1-3,Sand,V1,0.71,8614.233603,,0.09,
NK--V1-4,Sand,V1,0.85,6822.557947,,0.09,
KF-V1-1,Clay,V1,0.91,5563.561024,,0.15,
KF-V1-2,Clay,V1,0.66,4517.512499,,0.10,
KF-V1-3,Clay,V1,1.38,3517.261115,,0.20,
KF-V1-4,Clay,V1,0.46,5089.700216,,0.08,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
