Date,Day,Cumulative.rainfall.cm
11/17/2015,1,0.9
11/18/2015,2,0.9
11/19/2015,3,1.8
11/20/2015,4,1.8
11/21/2015,5,1.8
11/22/2015,6,2.7
11/23/2015,7,2.7
11/24/2015,8,2.7
11/25/2015,9,3.6
11/26/2015,10,3.6
11/27/2015,11,3.6
11/28/2015,12,4.5
11/29/2015,13,4.5
11/30/2015,14,4.5
12/1/2015,15,5.4
12/2/2015,16,5.4
12/3/2015,17,5.4
12/4/2015,18,6.3
12/5/2015,19,6.3
12/6/2015,20,6.3
12/7/2015,21,7.2
12/8/2015,22,7.2
12/9/2015,23,7.2
12/10/2015,24,8.1
12/11/2015,25,8.1
12/12/2015,26,8.1
12/13/2015,27,9
12/14/2015,28,9
12/15/2015,29,9
12/16/2015,30,9.9
12/17/2015,31,18.9
12/18/2015,32,18.9
12/19/2015,33,18.9
